"gene","proteinSearched","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblID","EntrezID"
"PDE4D","collagen","This gene encodes one of four mammalian counterparts to the fruit fly 'dunce' gene. The encoded protein has 3',5'-cyclic-AMP phosphodiesterase activity and degrades cAMP, which acts as a signal transduction molecule in multiple cell types. This gene uses different promoters to generate multiple alternatively spliced transcript variants that encode functional proteins.[provided by RefSeq, Sep 2009]","                                            PDE4D (Phosphodiesterase 4D) is a Protein Coding gene.                                            Diseases associated with PDE4D include Acrodysostosis 2 With Or Without Hormone Resistance and Acrodysostosis.                                            Among its related pathways are ADP signalling through P2Y purinoceptor 12 and Sweet Taste Signaling.                                            Gene Ontology (GO) annotations related to this gene include enzyme binding and protein domain specific binding.                                            An important paralog of this gene is PDE4A.","Hydrolyzes the second messenger cAMP, which is a key regulator of many important physiological processes.
                         PDE4D_HUMAN,Q08499
                         ","ENSG00000113448",5144
"PDPN","ecm","This gene encodes a type-I integral membrane glycoprotein with diverse distribution in human tissues. The physiological function of this protein may be related to its mucin-type character. The homologous protein in other species has been described as a differentiation antigen and influenza-virus receptor. The specific function of this protein has not been determined but it has been proposed as a marker of lung injury. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","                                            PDPN (Podoplanin) is a Protein Coding gene.                                            Diseases associated with PDPN include Lymphangioma and Atypical Neurofibroma.                                            Among its related pathways are Response to elevated platelet cytosolic Ca2+ and Angiogenesis (CST).                                            Gene Ontology (GO) annotations related to this gene include amino acid transmembrane transporter activity and folic acid transmembrane transporter activity.                                            ","Mediates effects on cell migration and adhesion through its different partners. During development plays a role in blood and lymphatic vessels separation by binding CLEC1B, triggering CLEC1B activation in platelets and leading to platelet activation and/or aggregation (PubMed:14522983, PubMed:15231832, PubMed:17616532, PubMed:18215137, PubMed:17222411). Interaction with CD9, on the contrary, attenuates platelet aggregation induced by PDPN (PubMed:18541721). Through MSN or EZR interaction promotes epithelial-mesenchymal transition (EMT) leading to ERZ phosphorylation and triggering RHOA activation leading to cell migration increase and invasiveness (PubMed:17046996, PubMed:21376833). Interaction with CD44 promotes directional cell migration in epithelial and tumor cells (PubMed:20962267). In lymph nodes (LNs), controls fibroblastic reticular cells (FRCs) adhesion to the extracellular matrix (ECM) and contraction of the actomyosin by maintaining ERM proteins (EZR; MSN and RDX) and MYL9 activation through association with unknown transmembrane proteins. Engagement of CLEC1B by PDPN promotes FRCs relaxation by blocking lateral membrane interactions leading to reduction of ERM proteins (EZR; MSN and RDX) and MYL9 activation (By similarity). Through binding with LGALS8 may participate in connection of the lymphatic endothelium to the surrounding extracellular matrix (PubMed:19268462). In keratinocytes, induces changes in cell morphology showing an elongated shape, numerous membrane protrusions, major reorganization of the actin cytoskeleton, increased motility and decreased cell adhesion (PubMed:15515019). Controls invadopodia stability and maturation leading to efficient degradation of the extracellular matrix (ECM) in tumor cells through modulation of RHOC activity in order to activate ROCK1/ROCK2 and LIMK1/LIMK2 and inactivation of CFL1 (PubMed:25486435). Required for normal lung cell proliferation and alveolus formation at birth (By similarity). Does not function as a water channel or as a regulator of aquaporin-type water channels (PubMed:9651190). Does not have any effect on folic acid or amino acid transport (By similarity).
                         PDPN_HUMAN,Q86YL7
                         ","ENSG00000162493",10630
"PGR","progesterone","This gene encodes a member of the steroid receptor superfamily. The encoded protein mediates the physiological effects of progesterone, which plays a central role in reproductive events associated with the establishment and maintenance of pregnancy. This gene uses two distinct promotors and translation start sites in the first exon to produce several transcript variants, both protein coding and non-protein coding. Two of the isoforms (A and B) are identical except for an additional 165 amino acids found in the N-terminus of isoform B and mediate their own response genes and physiologic effects with little overlap. [provided by RefSeq, Sep 2015]","                                            PGR (Progesterone Receptor) is a Protein Coding gene.                                            Diseases associated with PGR include Progesterone Resistance and Myoma.                                            Among its related pathways are Signaling by GPCR and Cellular roles of Anthrax toxin.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and signaling receptor binding.                                            An important paralog of this gene is NR3C2.","The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Depending on the isoform, progesterone receptor functions as transcriptional activator or repressor.
                         PRGR_HUMAN,P06401
                         ","ENSG00000082175",5241
"PGR","col4a6","This gene encodes a member of the steroid receptor superfamily. The encoded protein mediates the physiological effects of progesterone, which plays a central role in reproductive events associated with the establishment and maintenance of pregnancy. This gene uses two distinct promotors and translation start sites in the first exon to produce several transcript variants, both protein coding and non-protein coding. Two of the isoforms (A and B) are identical except for an additional 165 amino acids found in the N-terminus of isoform B and mediate their own response genes and physiologic effects with little overlap. [provided by RefSeq, Sep 2015]","                                            PGR (Progesterone Receptor) is a Protein Coding gene.                                            Diseases associated with PGR include Progesterone Resistance and Myoma.                                            Among its related pathways are Signaling by GPCR and Cellular roles of Anthrax toxin.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and signaling receptor binding.                                            An important paralog of this gene is NR3C2.","The steroid hormones and their receptors are involved in the regulation of eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Depending on the isoform, progesterone receptor functions as transcriptional activator or repressor.
                         PRGR_HUMAN,P06401
                         ","ENSG00000082175",5241
"PGRMC1","progesterone","This gene encodes a putative membrane-associated progesterone steroid receptor. The protein is expressed predominantly in the liver and kidney. [provided by RefSeq, Mar 2010]","                                            PGRMC1 (Progesterone Receptor Membrane Component 1) is a Protein Coding gene.                                            Diseases associated with PGRMC1 include Preterm Premature Rupture Of The Membranes and Placental Choriocarcinoma.                                            Among its related pathways are Innate Immune System and Glucose / Energy Metabolism.                                            Gene Ontology (GO) annotations related to this gene include heme binding and steroid binding.                                            An important paralog of this gene is PGRMC2.","Component of a progesterone-binding protein complex (PubMed:28396637). Binds progesterone (PubMed:25675345). Has many reported cellular functions (heme homeostasis, interaction with CYPs). Required for the maintenance of uterine histoarchitecture and normal female reproductive lifespan (By similarity). Intracellular heme chaperone. Regulates heme synthesis via interactions with FECH and acts as a heme donor for at least some hemoproteins (PubMed:27599036).
                         PGRC1_HUMAN,O00264
                         ","ENSG00000101856",10857
"PHEX","vitamin-d","The protein encoded by this gene is a transmembrane endopeptidase that belongs to the type II integral membrane zinc-dependent endopeptidase family. The protein is thought to be involved in bone and dentin mineralization and renal phosphate reabsorption. Mutations in this gene cause X-linked hypophosphatemic rickets. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2013]","                                            PHEX (Phosphate Regulating Endopeptidase Homolog X-Linked) is a Protein Coding gene.                                            Diseases associated with PHEX include Hypophosphatemic Rickets, X-Linked Dominant and Hypophosphatemic Rickets, X-Linked Recessive.                                                                                        Gene Ontology (GO) annotations related to this gene include metalloendopeptidase activity and aminopeptidase activity.                                            An important paralog of this gene is MMEL1.","Peptidase that cleaves SIBLING (small integrin-binding ligand, N-linked glycoprotein)-derived ASARM peptides, thus regulating their biological activity (PubMed:9593714, PubMed:15664000, PubMed:18162525, PubMed:18597632). Cleaves ASARM peptides between Ser and Glu or Asp residues (PubMed:18597632). Regulates osteogenic cell differentiation and bone mineralization through the cleavage of the MEPE-derived ASARM peptide (PubMed:18597632). Promotes dentin mineralization and renal phosphate reabsorption by cleaving DMP1- and MEPE-derived ASARM peptides (PubMed:18597632, PubMed:18162525). Inhibits the cleavage of MEPE by CTSB/cathepsin B thus preventing MEPE degradation (PubMed:12220505).
                         PHEX_HUMAN,P78562
                         ","ENSG00000102174",5251
"PNMT","adrenaline","The product of this gene catalyzes the last step of the catecholamine biosynthesis pathway, which methylates norepinephrine to form epinephrine (adrenaline). The enzyme also has beta-carboline 2N-methyltransferase activity. This gene is thought to play a key step in regulating epinephrine production. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Nov 2012]","                                            PNMT (Phenylethanolamine N-Methyltransferase) is a Protein Coding gene.                                            Diseases associated with PNMT include Extra-Adrenal Pheochromocytoma and Von Hippel-Lindau Syndrome.                                            Among its related pathways are Tyrosine metabolism and Biogenic Amine Synthesis.                                            Gene Ontology (GO) annotations related to this gene include methyltransferase activity and phenylethanolamine N-methyltransferase activity.                                            An important paralog of this gene is NNMT.","Converts noradrenaline to adrenaline.
                         PNMT_HUMAN,P11086
                         ","ENSG00000141744",5409
"POMC","collagen","This gene encodes a preproprotein that undergoes extensive, tissue-specific, post-translational processing via cleavage by subtilisin-like enzymes known as prohormone convertases. There are eight potential cleavage sites within the preproprotein and, depending on tissue type and the available convertases, processing may yield as many as ten biologically active peptides involved in diverse cellular functions. The encoded protein is synthesized mainly in corticotroph cells of the anterior pituitary where four cleavage sites are used; adrenocorticotrophin, essential for normal steroidogenesis and the maintenance of normal adrenal weight, and lipotropin beta are the major end products. In other tissues, including the hypothalamus, placenta, and epithelium, all cleavage sites may be used, giving rise to peptides with roles in pain and energy homeostasis, melanocyte stimulation, and immune modulation. These include several distinct melanotropins, lipotropins, and endorphins that are contained within the adrenocorticotrophin and beta-lipotropin peptides. The antimicrobial melanotropin alpha peptide exhibits antibacterial and antifungal activity. Mutations in this gene have been associated with early onset obesity, adrenal insufficiency, and red hair pigmentation. Alternatively spliced transcript variants encoding the same protein have been described. [provided by RefSeq, Jan 2016]","                                            POMC (Proopiomelanocortin) is a Protein Coding gene.                                            Diseases associated with POMC include Obesity, Early-Onset, With Adrenal Insufficiency And Red Hair and Body Mass Index Quantitative Trait Locus 11.                                            Among its related pathways are Neuroscience and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include signaling receptor binding and G protein-coupled receptor binding.                                            ","[Corticotropin]: Stimulates the adrenal glands to release cortisol.
                         COLI_HUMAN,P01189
                         ","ENSG00000115138",5443
"POU1F1","prolactin","This gene encodes a member of the POU family of transcription factors that regulate mammalian development. The protein regulates expression of several genes involved in pituitary development and hormone expression. Mutations in this genes result in combined pituitary hormone deficiency. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            POU1F1 (POU Class 1 Homeobox 1) is a Protein Coding gene.                                            Diseases associated with POU1F1 include Pituitary Hormone Deficiency, Combined, 1 and Isolated Growth Hormone Deficiency, Type Ii.                                            Among its related pathways are Relaxin signaling pathway and Glucocorticoid receptor regulatory network.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is POU3F3.","Transcription factor involved in the specification of the lactotrope, somatotrope, and thyrotrope phenotypes in the developing anterior pituitary. Specifically binds to the consensus sequence 5'-TAAAT-3'. Activates growth hormone and prolactin genes (PubMed:22010633, PubMed:26612202).
                         PIT1_HUMAN,P28069
                         ","ENSG00000064835",5449
"POU1F1","collagen","This gene encodes a member of the POU family of transcription factors that regulate mammalian development. The protein regulates expression of several genes involved in pituitary development and hormone expression. Mutations in this genes result in combined pituitary hormone deficiency. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","                                            POU1F1 (POU Class 1 Homeobox 1) is a Protein Coding gene.                                            Diseases associated with POU1F1 include Pituitary Hormone Deficiency, Combined, 1 and Isolated Growth Hormone Deficiency, Type Ii.                                            Among its related pathways are Relaxin signaling pathway and Glucocorticoid receptor regulatory network.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is POU3F3.","Transcription factor involved in the specification of the lactotrope, somatotrope, and thyrotrope phenotypes in the developing anterior pituitary. Specifically binds to the consensus sequence 5'-TAAAT-3'. Activates growth hormone and prolactin genes (PubMed:22010633, PubMed:26612202).
                         PIT1_HUMAN,P28069
                         ","ENSG00000064835",5449
"PPARG","fat","This gene encodes a member of the peroxisome proliferator-activated receptor (PPAR) subfamily of nuclear receptors. PPARs form heterodimers with retinoid X receptors (RXRs) and these heterodimers regulate transcription of various genes. Three subtypes of PPARs are known: PPAR-alpha, PPAR-delta, and PPAR-gamma. The protein encoded by this gene is PPAR-gamma and is a regulator of adipocyte differentiation. Additionally, PPAR-gamma has been implicated in the pathology of numerous diseases including obesity, diabetes, atherosclerosis and cancer. Alternatively spliced transcript variants that encode different isoforms have been described. [provided by RefSeq, Jul 2008]","                                            PPARG (Peroxisome Proliferator Activated Receptor Gamma) is a Protein Coding gene.                                            Diseases associated with PPARG include Lipodystrophy, Familial Partial, Type 3 and Carotid Intimal Medial Thickness 1.                                            Among its related pathways are Transcriptional misregulation in cancer and Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins..                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is PPARA.","Nuclear receptor that binds peroxisome proliferators such as hypolipidemic drugs and fatty acids. Once activated by a ligand, the nuclear receptor binds to DNA specific PPAR response elements (PPRE) and modulates the transcription of its target genes, such as acyl-CoA oxidase. It therefore controls the peroxisomal beta-oxidation pathway of fatty acids. Key regulator of adipocyte differentiation and glucose homeostasis. ARF6 acts as a key regulator of the tissue-specific adipocyte P2 (aP2) enhancer. Acts as a critical regulator of gut homeostasis by suppressing NF-kappa-B-mediated proinflammatory responses. Plays a role in the regulation of cardiovascular circadian rhythms by regulating the transcription of ARNTL/BMAL1 in the blood vessels (By similarity).
                         PPARG_HUMAN,P37231
                         ","ENSG00000132170",5468
"PRKAR1A","collagen","cAMP is a signaling molecule important for a variety of cellular functions. cAMP exerts its effects by activating the cAMP-dependent protein kinase, which transduces the signal through phosphorylation of different target proteins. The inactive kinase holoenzyme is a tetramer composed of two regulatory and two catalytic subunits. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. Four different regulatory subunits and three catalytic subunits have been identified in humans. This gene encodes one of the regulatory subunits. This protein was found to be a tissue-specific extinguisher that down-regulates the expression of seven liver genes in hepatoma x fibroblast hybrids. Mutations in this gene cause Carney complex (CNC). This gene can fuse to the RET protooncogene by gene rearrangement and form the thyroid tumor-specific chimeric oncogene known as PTC2. A nonconventional nuclear localization sequence (NLS) has been found for this protein which suggests a role in DNA replication via the protein serving as a nuclear transport protein for the second subunit of the Replication Factor C (RFC40). Several alternatively spliced transcript variants encoding two different isoforms have been observed. [provided by RefSeq, Jan 2013]","                                            PRKAR1A (Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha) is a Protein Coding gene.                                            Diseases associated with PRKAR1A include Myxoma, Intracardiac and Carney Complex, Type 1.                                            Among its related pathways are DAG and IP3 signaling and Neuroscience.                                            Gene Ontology (GO) annotations related to this gene include ubiquitin protein ligase binding and protein kinase A catalytic subunit binding.                                            An important paralog of this gene is PRKAR1B.","Regulatory subunit of the cAMP-dependent protein kinases involved in cAMP signaling in cells.
                         KAP0_HUMAN,P10644
                         ","ENSG00000108946",5573
"PRL","prolactin","This gene encodes the anterior pituitary hormone prolactin. This secreted hormone is a growth regulator for many tissues, including cells of the immune system. It may also play a role in cell survival by suppressing apoptosis, and it is essential for lactation. Alternative splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Aug 2011]","                                            PRL (Prolactin) is a Protein Coding gene.                                            Diseases associated with PRL include Impotence and Pituitary Gland Disease.                                            Among its related pathways are Prolactin Signaling Pathway and PEDF Induced Signaling.                                            Gene Ontology (GO) annotations related to this gene include hormone activity and prolactin receptor binding.                                            An important paralog of this gene is CSH2.","Prolactin acts primarily on the mammary gland by promoting lactation.
                         PRL_HUMAN,P01236
                         ","ENSG00000172179",5617
"PRLR","prolactin","This gene encodes a receptor for the anterior pituitary hormone, prolactin, and belongs to the type I cytokine receptor family. Prolactin-dependent signaling occurs as the result of ligand-induced dimerization of the prolactin receptor. Several alternatively spliced transcript variants encoding different membrane-bound and soluble isoforms have been described for this gene, which may function to modulate the endocrine and autocrine effects of prolactin in normal tissue and cancer. [provided by RefSeq, Feb 2011]","                                            PRLR (Prolactin Receptor) is a Protein Coding gene.                                            Diseases associated with PRLR include Hyperprolactinemia and Multiple Fibroadenomas Of The Breast.                                            Among its related pathways are Prolactin Signaling Pathway and PEDF Induced Signaling.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and peptide hormone binding.                                            An important paralog of this gene is GHR.","This is a receptor for the anterior pituitary hormone prolactin (PRL). Acts as a prosurvival factor for spermatozoa by inhibiting sperm capacitation through suppression of SRC kinase activation and stimulation of AKT. Isoform 4 is unable to transduce prolactin signaling. Isoform 6 is unable to transduce prolactin signaling.
                         PRLR_HUMAN,P16471
                         ","ENSG00000113494",5618
"PROC","vitamin-c","This gene encodes a vitamin K-dependent plasma glycoprotein. The encoded protein is cleaved to its activated form by the thrombin-thrombomodulin complex. This activated form contains a serine protease domain and functions in degradation of the activated forms of coagulation factors V and VIII. Mutations in this gene have been associated with thrombophilia due to protein C deficiency, neonatal purpura fulminans, and recurrent venous thrombosis.[provided by RefSeq, Dec 2009]","                                            PROC (Protein C, Inactivator Of Coagulation Factors Va And VIIIa) is a Protein Coding gene.                                            Diseases associated with PROC include Thrombophilia Due To Protein C Deficiency, Autosomal Recessive and Thrombophilia Due To Protein C Deficiency, Autosomal Dominant.                                            Among its related pathways are Formation of Fibrin Clot (Clotting Cascade) and Gamma carboxylation, hypusine formation and arylsulfatase activation.                                            Gene Ontology (GO) annotations related to this gene include calcium ion binding and peptidase activity.                                            An important paralog of this gene is PROZ.","Protein C is a vitamin K-dependent serine protease that regulates blood coagulation by inactivating factors Va and VIIIa in the presence of calcium ions and phospholipids (PubMed:25618265). Exerts a protective effect on the endothelial cell barrier function (PubMed:25651845).
                         PROC_HUMAN,P04070
                         ","ENSG00000115718",5624
"PROP1","collagen","This gene encodes a paired-like homeodomain transcription factor in the developing pituitary gland. Expression occurs prior to and is required for expression of pou domain transcription factor 1, which is responsible for pituitary development and hormone expression. Mutations in this gene have been associated with combined pituitary hormone deficiency-2 as well as deficiencies in luteinizing hormone, follicle-stimulating hormone, growth hormone, prolactin, and thyroid-stimulating hormone. [provided by RefSeq, Sep 2011]","                                            PROP1 (PROP Paired-Like Homeobox 1) is a Protein Coding gene.                                            Diseases associated with PROP1 include Pituitary Hormone Deficiency, Combined, 2 and Combined Pituitary Hormone Deficiencies, Genetic Forms.                                                                                        Gene Ontology (GO) annotations related to this gene include sequence-specific DNA binding and protein C-terminus binding.                                            An important paralog of this gene is ARX.","Possibly involved in the ontogenesis of pituitary gonadotropes, as well as somatotropes, lactotropes and caudomedial thyrotropes.
                         PROP1_HUMAN,O75360
                         ","ENSG00000175325",5626
"PRPS1L1","med12","This intronless gene is specifically expressed in the testis, and encodes a protein that is highly homologous to the two subunits of phosphoribosylpyrophosphate synthetase encoded by human X-linked genes, PRPS1 and PRPS2. These enzymes convert pyrimidine, purine or pyridine bases to the corresponding ribonucleoside monophosphates. In vitro transcription/translation and site-directed mutagenesis studies indicate that translation of this mRNA initiates exclusively at a non-AUG (ACG) codon. [provided by RefSeq, Jul 2008]","                                            PRPS1L1 (Phosphoribosyl Pyrophosphate Synthetase 1 Like 1) is a Protein Coding gene.                                            Diseases associated with PRPS1L1 include Deafness, X-Linked 1 and Arts Syndrome.                                            Among its related pathways are Metabolism and Carbon metabolism.                                            Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and kinase activity.                                            An important paralog of this gene is PRPS1.","Catalyzes the synthesis of phosphoribosylpyrophosphate (PRPP) that is essential for nucleotide synthesis.
                         PRPS3_HUMAN,P21108
                         ","ENSG00000229937",221823
"PSAP","vegetable-oil","This gene encodes a highly conserved preproprotein that is proteolytically processed to generate four main cleavage products including saposins A, B, C, and D. Each domain of the precursor protein is approximately 80 amino acid residues long with nearly identical placement of cysteine residues and glycosylation sites. Saposins A-D localize primarily to the lysosomal compartment where they facilitate the catabolism of glycosphingolipids with short oligosaccharide groups. The precursor protein exists both as a secretory protein and as an integral membrane protein and has neurotrophic activities. Mutations in this gene have been associated with Gaucher disease and metachromatic leukodystrophy. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016]","                                            PSAP (Prosaposin) is a Protein Coding gene.                                            Diseases associated with PSAP include Gaucher Disease, Atypical, Due To Saposin C Deficiency and Combined Saposin Deficiency.                                            Among its related pathways are Lysosome and Signaling by GPCR.                                            Gene Ontology (GO) annotations related to this gene include lipid binding and enzyme activator activity.                                            An important paralog of this gene is PSAPL1.","Saposin-A and saposin-C stimulate the hydrolysis of glucosylceramide by beta-glucosylceramidase (EC 3.2.1.45) and galactosylceramide by beta-galactosylceramidase (EC 3.2.1.46). Saposin-C apparently acts by combining with the enzyme and acidic lipid to form an activated complex, rather than by solubilizing the substrate.
                         SAP_HUMAN,P07602
                         ","ENSG00000197746",5660
"PTGS1","ibuprofen","This is one of two genes encoding similar enzymes that catalyze the conversion of arachinodate to prostaglandin. The encoded protein regulates angiogenesis in endothelial cells, and is inhibited by nonsteroidal anti-inflammatory drugs such as aspirin. Based on its ability to function as both a cyclooxygenase and as a peroxidase, the encoded protein has been identified as a moonlighting protein. The protein may promote cell proliferation during tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]","                                            PTGS1 (Prostaglandin-Endoperoxide Synthase 1) is a Protein Coding gene.                                            Diseases associated with PTGS1 include Gastric Ulcer and Aspirin Resistance.                                            Among its related pathways are Neuroscience and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include heme binding and dioxygenase activity.                                            An important paralog of this gene is PTGS2.","Converts arachidonate to prostaglandin H2 (PGH2), a committed step in prostanoid synthesis. Involved in the constitutive production of prostanoids in particular in the stomach and platelets. In gastric epithelial cells, it is a key step in the generation of prostaglandins, such as prostaglandin E2 (PGE2), which plays an important role in cytoprotection. In platelets, it is involved in the generation of thromboxane A2 (TXA2), which promotes platelet activation and aggregation, vasoconstriction and proliferation of vascular smooth muscle cells.
                         PGH1_HUMAN,P23219
                         ","ENSG00000095303",5742
"PTGS1","aspirin","This is one of two genes encoding similar enzymes that catalyze the conversion of arachinodate to prostaglandin. The encoded protein regulates angiogenesis in endothelial cells, and is inhibited by nonsteroidal anti-inflammatory drugs such as aspirin. Based on its ability to function as both a cyclooxygenase and as a peroxidase, the encoded protein has been identified as a moonlighting protein. The protein may promote cell proliferation during tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]","                                            PTGS1 (Prostaglandin-Endoperoxide Synthase 1) is a Protein Coding gene.                                            Diseases associated with PTGS1 include Gastric Ulcer and Aspirin Resistance.                                            Among its related pathways are Neuroscience and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include heme binding and dioxygenase activity.                                            An important paralog of this gene is PTGS2.","Converts arachidonate to prostaglandin H2 (PGH2), a committed step in prostanoid synthesis. Involved in the constitutive production of prostanoids in particular in the stomach and platelets. In gastric epithelial cells, it is a key step in the generation of prostaglandins, such as prostaglandin E2 (PGE2), which plays an important role in cytoprotection. In platelets, it is involved in the generation of thromboxane A2 (TXA2), which promotes platelet activation and aggregation, vasoconstriction and proliferation of vascular smooth muscle cells.
                         PGH1_HUMAN,P23219
                         ","ENSG00000095303",5742
"PTGS1","nsaids","This is one of two genes encoding similar enzymes that catalyze the conversion of arachinodate to prostaglandin. The encoded protein regulates angiogenesis in endothelial cells, and is inhibited by nonsteroidal anti-inflammatory drugs such as aspirin. Based on its ability to function as both a cyclooxygenase and as a peroxidase, the encoded protein has been identified as a moonlighting protein. The protein may promote cell proliferation during tumor progression. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]","                                            PTGS1 (Prostaglandin-Endoperoxide Synthase 1) is a Protein Coding gene.                                            Diseases associated with PTGS1 include Gastric Ulcer and Aspirin Resistance.                                            Among its related pathways are Neuroscience and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include heme binding and dioxygenase activity.                                            An important paralog of this gene is PTGS2.","Converts arachidonate to prostaglandin H2 (PGH2), a committed step in prostanoid synthesis. Involved in the constitutive production of prostanoids in particular in the stomach and platelets. In gastric epithelial cells, it is a key step in the generation of prostaglandins, such as prostaglandin E2 (PGE2), which plays an important role in cytoprotection. In platelets, it is involved in the generation of thromboxane A2 (TXA2), which promotes platelet activation and aggregation, vasoconstriction and proliferation of vascular smooth muscle cells.
                         PGH1_HUMAN,P23219
                         ","ENSG00000095303",5742
